CustomerID,Tenure Months_x,Contract_x,Monthly Charges_x,Total Charges,Internet Service,Payment Method,Charges Band,Churn Label_x,CLTV,Churn_Probability,Predicted_Churn,Risk_Tier
3668-QPYBK,2,Month-to-month,53.85,108.15,DSL,Mailed check,Medium ($35-65),Yes,3239,0.5275273310277564,1,Medium Risk
9237-HQITU,2,Month-to-month,70.7,151.65,Fiber optic,Electronic check,High ($65-95),Yes,2701,0.6933543882434359,1,Medium Risk
9305-CDSKC,8,Month-to-month,99.65,820.5,Fiber optic,Electronic check,Premium (>$95),Yes,5372,0.6700480192259519,1,Medium Risk
7892-POOKP,28,Month-to-month,104.8,3046.05,Fiber optic,Electronic check,Premium (>$95),Yes,5003,0.4749499605594392,0,Low Risk
0280-XJGEX,49,Month-to-month,103.7,5036.3,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,5340,0.43889774592148,0,Low Risk
4190-MFLUW,10,Month-to-month,55.2,528.35,DSL,Credit card (automatic),Medium ($35-65),Yes,5925,0.2892300900226885,0,Low Risk
8779-QRDMV,1,Month-to-month,39.65,39.65,DSL,Electronic check,Medium ($35-65),Yes,5433,0.8266098894250961,1,High Risk
1066-JKSGK,1,Month-to-month,20.15,20.15,No,Mailed check,Low (<$35),Yes,4832,0.6007693468863681,1,Medium Risk
6467-CHFZW,47,Month-to-month,99.35,4749.15,Fiber optic,Electronic check,Premium (>$95),Yes,5789,0.29950107391505304,0,Low Risk
8665-UTDHZ,1,Month-to-month,30.2,30.2,DSL,Electronic check,Low (<$35),Yes,2915,0.6516428547280846,1,Medium Risk
8773-HHUOZ,17,Month-to-month,64.7,1093.1,DSL,Mailed check,Medium ($35-65),Yes,3022,0.529921258923231,1,Medium Risk
6047-YHPVI,5,Month-to-month,69.7,316.9,Fiber optic,Electronic check,High ($65-95),Yes,2454,0.6243556270226589,1,Medium Risk
5380-WJKOV,34,Month-to-month,106.35,3549.25,Fiber optic,Electronic check,Premium (>$95),Yes,2941,0.2623109583183716,0,Low Risk
8168-UQWWF,11,Month-to-month,97.85,1105.4,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,5674,0.5489971419407746,1,Medium Risk
7760-OYPDY,2,Month-to-month,80.65,144.15,Fiber optic,Electronic check,High ($65-95),Yes,5586,0.6672862943659087,1,Medium Risk
9420-LOJKX,15,Month-to-month,99.1,1426.4,Fiber optic,Credit card (automatic),Premium (>$95),Yes,2966,0.32080989291151996,0,Low Risk
7495-OOKFY,8,Month-to-month,80.65,633.3,Fiber optic,Credit card (automatic),High ($65-95),Yes,5302,0.3168887958145388,0,Low Risk
1658-BYGOY,18,Month-to-month,95.45,1752.55,Fiber optic,Electronic check,Premium (>$95),Yes,3179,0.5711952805642213,1,Medium Risk
5698-BQJOH,9,Month-to-month,94.4,857.25,Fiber optic,Electronic check,High ($65-95),Yes,5571,0.5119146651638845,1,Medium Risk
5919-TMRGD,1,Month-to-month,79.35,79.35,Fiber optic,Electronic check,High ($65-95),Yes,2483,0.669091067876169,1,Medium Risk
9191-MYQKX,7,Month-to-month,75.15,496.9,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,3457,0.47913314748078983,0,Low Risk
8637-XJIVR,12,Month-to-month,78.95,927.35,Fiber optic,Electronic check,High ($65-95),Yes,5806,0.47649751911841315,0,Low Risk
0278-YXOOG,5,Month-to-month,21.05,113.85,No,Mailed check,Low (<$35),Yes,2604,0.29118935722653055,0,Low Risk
4598-XLKNJ,25,Month-to-month,98.5,2514.5,Fiber optic,Electronic check,Premium (>$95),Yes,5337,0.5122791388923394,1,Medium Risk
3192-NQECA,68,Two year,110.0,7611.85,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,5034,0.2503977288331695,0,Low Risk
0486-HECZI,55,Month-to-month,96.75,5238.9,Fiber optic,Electronic check,Premium (>$95),Yes,5154,0.12429528590790151,0,Very Low Risk
4846-WHAFZ,37,Month-to-month,76.5,2868.15,Fiber optic,Electronic check,High ($65-95),Yes,2793,0.18143872942606795,0,Very Low Risk
5299-RULOA,10,Month-to-month,100.25,1064.65,Fiber optic,Electronic check,Premium (>$95),Yes,5998,0.5573665939608973,1,Medium Risk
0404-SWRVG,3,Month-to-month,74.4,229.55,Fiber optic,Electronic check,High ($65-95),Yes,4415,0.7138827565474447,1,Medium Risk
4412-YLTKF,27,Month-to-month,78.05,2135.5,Fiber optic,Electronic check,High ($65-95),Yes,4638,0.31936849583610866,0,Low Risk
6207-WIOLX,25,Month-to-month,58.6,1502.65,DSL,Credit card (automatic),Medium ($35-65),Yes,4190,0.345544871669481,0,Low Risk
3091-FYHKI,1,Month-to-month,35.45,35.45,DSL,Electronic check,Medium ($35-65),Yes,2301,0.8342405857873271,1,High Risk
2372-HWUHI,2,Month-to-month,44.35,81.25,DSL,Electronic check,Medium ($35-65),Yes,2570,0.7034240690297102,1,Medium Risk
0390-DCFDQ,1,Month-to-month,70.45,70.45,Fiber optic,Mailed check,High ($65-95),Yes,3964,0.5138770603570869,1,Medium Risk
4080-OGPJL,8,Month-to-month,71.15,563.65,DSL,Electronic check,High ($65-95),Yes,2662,0.42753524558630757,0,Low Risk
2135-RXIHG,1,Month-to-month,45.65,45.65,DSL,Electronic check,Medium ($35-65),Yes,2600,0.8215696564922859,1,High Risk
3874-EQOEP,7,Month-to-month,95.0,655.5,Fiber optic,Mailed check,High ($65-95),Yes,2786,0.605625248908311,1,Medium Risk
0867-MKZVY,20,Month-to-month,82.4,1592.35,Fiber optic,Electronic check,High ($65-95),Yes,5719,0.36249731642830424,0,Low Risk
3376-BMGFE,4,Month-to-month,70.9,273.0,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4287,0.5997594510438103,1,Medium Risk
3445-HXXGF,58,Month-to-month,45.3,2651.2,DSL,Electronic check,Medium ($35-65),Yes,5444,0.544646061676921,1,Medium Risk
1875-QIVME,2,Month-to-month,104.4,242.8,Fiber optic,Electronic check,Premium (>$95),Yes,4690,0.6350273387750281,1,Medium Risk
0691-JVSYA,53,One year,94.85,5000.2,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4328,0.3706499810075119,0,Low Risk
2656-FMOKZ,15,Month-to-month,74.45,1145.7,Fiber optic,Mailed check,High ($65-95),Yes,5717,0.5189371484551398,1,Medium Risk
2070-FNEXE,7,Month-to-month,76.45,503.6,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4419,0.33534538581148593,0,Low Risk
6317-YPKDH,1,Month-to-month,29.95,29.95,DSL,Bank transfer (automatic),Low (<$35),Yes,4534,0.4859236608793267,0,Low Risk
9367-WXLCH,8,Month-to-month,84.5,662.65,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,2152,0.5106814571244449,1,Medium Risk
1918-ZBFQJ,13,Month-to-month,79.25,1111.65,Fiber optic,Electronic check,High ($65-95),Yes,5142,0.5343021741450701,1,Medium Risk
1024-GUALD,1,Month-to-month,24.8,24.8,DSL,Electronic check,Low (<$35),Yes,4851,0.7676537132137312,1,High Risk
2472-OVKUP,6,Month-to-month,91.0,531.0,Fiber optic,Electronic check,High ($65-95),Yes,2283,0.5446642770542647,1,Medium Risk
1285-OKIPP,1,Month-to-month,79.9,79.9,Fiber optic,Electronic check,High ($65-95),Yes,3394,0.6393894261391164,1,Medium Risk
7825-ECJRF,19,Month-to-month,106.6,1934.45,Fiber optic,Electronic check,Premium (>$95),Yes,3764,0.5202934036740691,1,Medium Risk
7841-TZDMQ,2,Month-to-month,46.0,84.5,DSL,Credit card (automatic),Medium ($35-65),Yes,2667,0.6676006611535675,1,Medium Risk
